,GID,A10_관내_T,A10_관외_T,A20_관내_T,A20_관외_T,A30_관내_T,A30_관외_T,A40_관내_T,A40_관외_T,A50_관내_T,A50_관외_T,A60_관내_T,A60_관외_T,외국인_A10,외국인_A20,외국인_A30,외국인_A40,외국인_A50,외국인_A60,법인_A10,법인_A20,법인_A30,법인_A40,법인_A50,법인_A60,A10_관내_WD,A10_관외_WD,A20_관내_WD,A20_관외_WD,A30_관내_WD,A30_관외_WD,A40_관내_WD,A40_관외_WD,A50_관내_WD,A50_관외_WD,A60_관내_WD,A60_관외_WD,A10_관내_HD,A10_관외_HD,A20_관내_HD,A20_관외_HD,A30_관내_HD,A30_관외_HD,A40_관내_HD,A40_관외_HD,A50_관내_HD,A50_관외_HD,A60_관내_HD,A60_관외_HD
202301,다사616495,3,2,4,2,1,2,3,1,1,3,2,3,3,2,2,2,1,3,1,2,1,2,1,4,1,2,2,3,1,1,4,2,2,2,2,3,4,4,1,3,2,1,3,2,1,1,2,4
202301,다사641506,1,4,3,2,3,1,4,1,2,3,1,3,1,2,2,3,1,2,4,3,2,1,2,2,1,4,2,1,4,2,2,3,2,1,2,1,4,2,1,1,2,1,2,2,3,4,2,3
202301,다사639504,3,3,2,2,4,1,3,1,2,4,2,3,4,3,3,3,4,1,3,2,4,3,4,2,3,1,2,4,2,1,3,4,1,2,2,3,3,3,2,3,1,1,3,2,4,4,1,3
202301,다사622481,3,4,3,1,4,1,1,4,4,2,4,1,1,1,2,3,2,4,4,3,4,4,2,4,2,3,2,2,1,1,4,4,3,4,4,2,2,2,2,2,3,3,2,3,4,4,1,1
202301,다사621494,2,2,4,4,3,2,4,4,3,3,3,4,3,3,1,2,3,1,3,1,4,3,2,3,3,1,1,3,1,4,3,3,1,2,3,1,3,4,4,2,4,3,2,1,1,3,2,1
202301,다사629525,3,4,4,3,3,4,4,2,3,1,4,4,2,1,3,2,2,2,3,1,4,2,1,4,1,1,2,2,4,1,3,3,1,4,4,2,4,4,1,4,1,4,1,4,1,2,1,4
202301,다사639510,2,3,3,2,3,2,2,2,3,3,4,3,4,2,3,4,3,1,2,1,2,2,4,4,1,1,4,2,2,2,2,1,3,1,2,4,2,2,3,3,2,1,2,1,1,3,2,1
202301,다사618484,2,3,4,4,1,3,1,3,1,2,3,2,3,2,1,2,3,2,3,2,2,1,3,1,1,3,1,4,3,3,1,1,4,2,2,3,4,4,4,2,1,2,1,3,2,1,1,2
202301,다사632515,3,2,4,2,4,1,4,4,3,4,4,2,2,3,4,3,3,2,1,3,3,2,3,4,1,3,3,3,2,1,4,3,1,3,2,3,4,4,1,4,3,1,4,2,4,2,3,2
202301,다사619488,2,2,2,2,2,1,2,2,4,3,2,3,3,1,1,1,1,3,1,3,2,1,1,2,4,4,3,2,2,4,2,3,4,3,2,4,4,4,3,3,3,4,1,3,1,3,2,3
202301,다사654497,4,3,4,3,2,3,2,3,1,1,1,1,3,3,4,2,4,4,1,1,2,3,1,3,1,2,2,1,3,4,1,4,1,3,4,2,2,1,2,1,2,3,1,4,3,4,4,1
202301,다사638501,4,2,1,3,2,3,2,4,1,1,1,4,1,3,2,1,1,2,3,3,2,2,1,1,3,4,2,4,2,3,1,1,3,2,2,3,1,1,1,3,2,4,4,3,4,4,3,4
202301,다사628504,1,4,1,2,1,3,1,1,1,3,2,1,2,3,1,3,4,3,1,4,1,4,2,1,1,3,3,2,4,3,1,3,1,3,2,1,1,1,1,2,2,3,4,4,4,1,1,1
202301,다사614484,4,3,4,1,4,4,3,1,2,1,3,2,2,1,2,2,4,4,3,1,4,1,1,3,4,3,3,2,1,1,1,3,3,3,2,1,2,2,2,1,1,1,1,3,2,1,1,1
202301,다사641505,3,4,4,4,1,4,3,2,3,3,4,1,2,4,3,2,3,2,1,4,3,1,1,4,1,3,1,3,1,2,3,3,4,3,3,1,2,2,4,1,2,2,1,1,1,3,1,4
202301,다사627489,4,3,1,1,1,2,2,4,2,3,1,3,2,4,2,4,2,1,1,4,3,3,3,3,1,2,4,1,4,1,1,4,3,2,2,4,2,2,1,2,3,3,1,2,1,1,2,1
202301,다사654501,3,3,2,1,1,2,2,4,4,4,2,3,4,3,1,3,4,2,2,1,4,3,4,3,2,3,2,3,4,4,1,2,2,2,1,1,3,1,4,3,4,3,4,2,4,4,2,2
202301,다사636495,1,1,4,4,3,4,2,3,1,4,1,1,3,4,1,2,3,3,4,4,4,2,4,2,4,4,1,1,3,2,1,2,4,4,1,2,4,1,2,3,2,1,1,4,2,4,4,3
202301,다사622479,1,2,4,2,2,2,2,3,4,1,2,3,2,1,3,2,2,3,4,2,2,4,2,2,2,4,1,1,3,4,3,3,2,4,3,3,4,2,2,1,2,3,4,4,1,1,2,3
202301,다사640499,1,3,2,3,3,1,4,4,1,3,4,2,3,2,1,1,1,4,4,1,3,2,1,4,4,2,3,1,3,2,3,1,3,1,3,1,3,2,3,1,3,3,3,1,3,1,4,4
202301,다사613483,1,1,4,3,4,1,2,1,1,1,4,2,2,1,3,2,1,4,1,2,3,4,4,4,2,2,3,4,2,1,1,2,1,2,2,3,4,3,2,3,4,2,2,3,3,4,3,2
202301,다사630492,4,1,2,1,4,3,3,1,3,3,2,3,4,3,3,4,4,1,4,1,1,4,2,2,2,3,2,3,3,4,4,4,1,2,1,3,1,1,2,3,4,2,1,3,4,4,1,2
202301,다사619497,4,3,4,2,2,2,1,1,4,2,3,2,4,4,2,2,1,4,1,3,3,3,1,4,4,1,1,1,3,3,3,3,4,4,4,1,4,1,2,4,1,4,4,4,3,3,3,2
202301,다사613484,2,4,3,1,2,2,3,3,3,2,4,4,2,4,2,2,3,4,1,3,3,1,3,1,2,4,4,2,1,1,2,4,4,2,4,2,2,4,4,1,3,3,4,4,2,3,4,1
202301,다사639499,4,2,2,4,2,1,4,4,1,4,3,4,3,2,3,2,1,3,2,4,4,2,2,1,1,3,2,2,1,3,3,4,3,3,4,3,4,2,4,1,3,3,3,2,3,3,1,3
202301,다사629521,3,3,2,1,1,2,2,4,1,4,3,1,2,4,4,4,2,3,4,2,4,4,3,2,2,2,1,4,4,1,1,4,2,4,1,4,4,1,3,4,4,3,3,2,3,2,4,1
202301,다사641511,1,3,4,1,1,2,3,1,3,3,4,3,2,2,1,3,2,4,3,1,3,3,2,3,4,3,3,1,2,1,4,1,3,1,4,2,4,1,3,1,2,3,2,4,4,1,3,1
202301,다사625478,4,3,2,4,3,2,3,1,1,4,2,4,3,2,2,1,3,3,3,4,2,3,3,2,2,4,3,3,1,2,2,2,2,1,3,2,4,2,1,1,1,4,3,2,4,1,2,1
202301,다사621507,1,3,2,3,4,1,4,1,3,2,4,1,4,3,3,3,1,4,3,2,2,4,1,2,4,4,1,2,1,2,3,3,4,1,2,4,2,3,4,4,2,3,2,3,2,3,4,4
